date,location,BC_sat,CO_sat,NO2_sat,SO2_sat
2018-01-08,Gandhinagar,,133.411959,5591170000000000.0,0.291596383
2018-01-08,Gangtok,,,2041580000000000.0,-0.579999983
2018-01-08,Ghaziabad,,,,
2018-01-08,Gorakhpur,,,,
2018-01-08,Gwalior,,120.024197,,
2018-01-08,Hyderabad,,,,
2018-01-08,Imphal,,,1893270000000000.0,-0.015000001
2018-01-08,Indore,,,,
2018-01-08,Jabalpur,,,,
2018-01-08,Jaipur,,,,
2018-01-08,Jalandhar,,,,
2018-01-08,Jodhpur,,129.337423,5382080000000000.0,-0.143239439
2018-01-08,Kanpur,,121.042831,,
2018-01-08,Kochi,,115.658622,5303020000000000.0,-0.230000004
2018-01-08,Kohima,,,1535890000000000.0,-0.127768919
2018-01-08,Kolkata,,,4916510000000000.0,
2018-01-08,Kota,,,,
2018-01-08,Kozhikode,,120.489858,3318420000000000.0,-0.096298032
2018-01-08,Lucknow,,123.050995,,
2018-01-08,Ludhiana,,,,
2018-01-08,Mangaluru,,119.44212,7448990000000000.0,-0.150000006
2018-01-08,Meerut,,,,
2018-01-08,Miami,,125.612132,,
2018-01-08,Moradabad,,,,
2018-01-08,Mumbai,,139.34914,9450010000000000.0,0.732600927
2018-01-08,Mysuru,,,2602710000000000.0,-0.104257345
2018-01-08,Nashik,,130.967237,4637660000000000.0,0.093325563
2018-01-08,NewDelhi,,,,
2018-01-08,Patna,,,4024470000000000.0,
2018-01-08,Pondicherry,,125.030056,,
2018-01-08,Prayagraj,,119.44212,,
2018-01-08,Pune,,,5784920000000000.0,-0.055925466
2018-01-08,Shillong,,102.620106,2880120000000000.0,0.189999998
2018-01-08,Solapur,,,,0.037852131
2018-01-08,Srinagar,,,,
2018-01-08,Thiruvananthapuram,,116.357114,2986640000000000.0,0.077778935
2018-01-08,Varanasi,,122.003257,,
2018-01-08,Vijaywada,,133.761205,,
2018-01-08,Visakhapatnam,,135.785739,,
2018-01-09,Agartala,,147.032551,,
2018-01-09,Agra,,,,
2018-01-09,Aizwal,,148.080289,,
2018-01-09,Amritsar,,,,
2018-01-09,Asansol,,154.715963,,
2018-01-09,Aurangabad,,,,
2018-01-09,Bareilly,,214.786269,,
2018-01-09,Belgaum,,,,
2018-01-09,Bengaluru,,,,
2018-01-09,Bhopal,,,,
2018-01-09,Chandigarh,,,,
2018-01-09,Chennai,,,,
2018-01-09,Coimbatore,,,,
2018-01-09,Dehradun,,,,
2018-01-09,DurgBhilai,,,,
2018-01-09,Faridabad,,,,
2018-01-09,Gandhinagar,,142.492354,,
2018-01-09,Gangtok,,,,
2018-01-09,Ghaziabad,,,,
2018-01-09,Gorakhpur,,,,
2018-01-09,Gwalior,,,,
2018-01-09,Hyderabad,,,,
2018-01-09,Imphal,,,,
2018-01-09,Indore,,,,
2018-01-09,Jabalpur,,,,
2018-01-09,Jaipur,,,,
2018-01-09,Jalandhar,,,,
2018-01-09,Jodhpur,,131.110066,,
2018-01-09,Kanpur,,161.235221,,
2018-01-09,Kochi,,108.848326,,
2018-01-09,Kohima,,,,
2018-01-09,Kolkata,,161.235221,,
2018-01-09,Kota,,,,
2018-01-09,Kozhikode,,109.48861,,
2018-01-09,Lucknow,,161.235221,,
2018-01-09,Ludhiana,,,,
2018-01-09,Mangaluru,,118.569005,,
2018-01-09,Meerut,,,,
2018-01-09,Miami,,135.391019,,
2018-01-09,Moradabad,,,,
2018-01-09,Mumbai,,131.549314,,
2018-01-09,Mysuru,,,,
2018-01-09,Nashik,,126.310624,,
2018-01-09,NewDelhi,,,,
2018-01-09,Patna,,159.605406,,
2018-01-09,Pondicherry,,,,
2018-01-09,Prayagraj,,137.60291,,
2018-01-09,Pune,,130.15233,,
2018-01-09,Shillong,,136.671588,,
2018-01-09,Solapur,,,,
2018-01-09,Srinagar,,,,
2018-01-09,Thiruvananthapuram,,94.3546183,,
2018-01-09,Varanasi,,139.465556,,
2018-01-09,Vijaywada,,,,
2018-01-09,Visakhapatnam,,137.486678,,
2018-01-10,Agartala,,,7069660000000000.0,
2018-01-10,Agra,,134.459697,,
2018-01-10,Aizwal,,,2633630000000000.0,0.466954112
2018-01-10,Amritsar,,,1.74e+16,0.763754308
2018-01-10,Asansol,,,,
2018-01-10,Aurangabad,,,4096650000000000.0,0.024097757
2018-01-10,Bareilly,,,,
2018-01-10,Belgaum,,,1728880000000000.0,0.059616905
2018-01-10,Bengaluru,,,4548170000000000.0,0.119999997
2018-01-10,Bhopal,,,3358440000000000.0,
2018-01-10,Chandigarh,,,,
2018-01-10,Chennai,,146.916136,,
2018-01-10,Coimbatore,,,,-0.129999995
2018-01-10,Dehradun,,,,
2018-01-10,DurgBhilai,,,,
2018-01-10,Faridabad,,,,
2018-01-10,Gandhinagar,,125.961378,4799580000000000.0,0.036735404
2018-01-10,Gangtok,,,721984000000000.0,-0.100000001
2018-01-10,Ghaziabad,,,,
2018-01-10,Gorakhpur,,,,
2018-01-10,Gwalior,,138.767064,,
2018-01-10,Hyderabad,,,5578740000000000.0,0.689999998
2018-01-10,Imphal,,,2170820000000000.0,1.03999996
2018-01-10,Indore,,,4078400000000000.0,0.107913129
2018-01-10,Jabalpur,,,,
2018-01-10,Jaipur,,,5743940000000000.0,0.007533894
2018-01-10,Jalandhar,,,2.01e+16,
2018-01-10,Jodhpur,,,5458600000000000.0,0.175162971
2018-01-10,Kanpur,,151.80558,,
2018-01-10,Kochi,,132.597052,2944320000000000.0,0.200000003
2018-01-10,Kohima,,,2725910000000000.0,0.090744302
2018-01-10,Kolkata,,152.504072,,0.819999993
2018-01-10,Kota,,,6257230000000000.0,0.056277514
2018-01-10,Kozhikode,,144.82066,4291120000000000.0,0.12998876
2018-01-10,Lucknow,,159.954652,,
2018-01-10,Ludhiana,,,,
2018-01-10,Mangaluru,,131.432898,3126130000000000.0,0.059999999
2018-01-10,Meerut,,,,
2018-01-10,Miami,,,,
2018-01-10,Moradabad,,,,
2018-01-10,Mumbai,,136.089511,6663220000000000.0,
2018-01-10,Mysuru,,,,
2018-01-10,Nashik,,152.387656,4041140000000000.0,0.220009565
2018-01-10,NewDelhi,,,,
2018-01-10,Patna,,165.659003,,
2018-01-10,Pondicherry,,129.221007,2123750000000000.0,
2018-01-10,Prayagraj,,147.148967,,
2018-01-10,Pune,,,4393410000000000.0,-0.039564516
2018-01-10,Shillong,,,2479520000000000.0,-0.479999989
2018-01-10,Solapur,,,5217880000000000.0,-0.145471826
2018-01-10,Srinagar,,,,
2018-01-10,Thiruvananthapuram,,131.432898,2790720000000000.0,0.083798736
2018-01-10,Varanasi,,164.49485,,
2018-01-10,Vijaywada,,134.110451,,
2018-01-10,Visakhapatnam,,143.609934,,
2018-01-11,Agartala,,155.065209,,
2018-01-11,Agra,,,3770290000000000.0,0.197939977
2018-01-11,Aizwal,,157.044269,,
2018-01-11,Amritsar,,,,
2018-01-11,Asansol,,,9035180000000000.0,0.119999997
2018-01-11,Aurangabad,,,,
2018-01-11,Bareilly,,,6576700000000000.0,
2018-01-11,Belgaum,,,,
2018-01-11,Bengaluru,,,,
2018-01-11,Bhopal,,,,0.072220936
2018-01-11,Chandigarh,,,7903870000000000.0,
2018-01-11,Chennai,,,5637610000000000.0,0.129798517
2018-01-11,Coimbatore,,,,
2018-01-11,Dehradun,,,,
2018-01-11,DurgBhilai,,,6545790000000000.0,
2018-01-11,Faridabad,,,8809950000000000.0,0.655530512
